Sr. No.,Company,Symbol,Name,"Market Capitalisation 
(In lakhs)",Pink,Top,Instrument
158,LALPATHLAB,LALPATHLAB.NS,Dr. Lal Path Labs Ltd.,"1,168,199",0,0,2983425
159,WABCOINDIA,WABCOINDIA.NS,WABCO India Limited,"1,164,856",0,0,4330241
160,SCHAEFFLER,SCHAEFFLER.NS,Schaeffler India Limited,"1,161,852",0,0,258817
161,SUNTV,SUNTV.NS,Sun TV Network Limited,"1,126,885",0,1,3431425
162,EXIDEIND,EXIDEIND.NS,Exide Industries Limited,"1,118,600",0,0,173057
163,POLYCAB,POLYCAB.NS,Polycab India Limited,"1,103,922",0,0,2455041
164,SUPREMEIND,SUPREMEIND.NS,Supreme Industries Limited,"1,102,212",0,0,860929
165,BHARATFORG,BHARATFORG.NS,Bharat Forge Limited,"1,093,900",0,0,108033
166,ADANIPOWER,ADANIPOWER.NS,Adani Power Limited,"1,070,301",0,0,4451329
167,BANKINDIA,BANKINDIA.NS,Bank of India,"1,056,808",0,0,1214721
168,MFSL,MFSL.NS,Max Financial Services Limited,"1,036,533",0,0,548353
169,L&TFH,L&TFH.NS,L&T Finance Holdings Limited,"1,026,261",0,1,6386689
170,IDFCFIRSTB,IDFCFIRSTB.NS,IDFC First Bank Limited,"1,014,890",0,0,2863105
171,AKZOINDIA,AKZOINDIA.NS,Akzo Nobel India Limited,"1,007,830",0,0,375553
172,APLLTD,APLLTD.NS,Alembic Pharmaceuticals Limited,"1,007,146",0,0,6483969
173,GMRINFRA,GMRINFRA.NS,GMR Infrastructure Limited,"986,877",0,0,3463169
174,CASTROLIND,CASTROLIND.NS,Castrol India Limited,"983,682",0,0,320001
175,UNIONBANK,UNIONBANK.NS,Union Bank of India,"982,349",0,1,2752769
176,ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Limited,"974,985",0,0,5533185
177,GSPL,GSPL.NS,Gujarat State Petronet Limited,"972,727",0,0,3378433
178,SYNGENE,SYNGENE.NS,Syngene International Limited,"960,600",0,0,2622209
179,GODREJIND,GODREJIND.NS,Godrej Industries Limited,"952,704",0,0,2796801
180,FORTIS,FORTIS.NS,Fortis Healthcare Limited,"952,380",0,0,3735553
181,SAIL,SAIL.NS,Steel Authority of India Limited,"952,086",0,1,758529
182,ADANIGAS,ADANIGAS.NS,Adani Gas Limited,"949,686",0,0,1552897
183,CUB,CUB.NS,City Union Bank Limited,"949,568",0,0,1459457
184,DALBHARAT,DALBHARAT.NS,Dalmia Bharat Limited,"946,655",0,0,2067201
185,CANBK,CANBK.NS,Canara Bank,"932,361",0,0,2763265
186,AAVAS,AAVAS.NS,Aavas Financiers Limited,"930,895",0,0,1378561
187,SUMICHEM,SUMICHEM.NS,Sumitomo Chemical India Limited,"921,922",0,0,4378881
188,NATCOPHARM,NATCOPHARM.NS,Natco Pharma Limited,"919,531",0,0,1003009
189,M&MFIN,M&MFIN.NS,Mahindra & Mahindra Financial Services Limited,"909,350",0,0,3400961
190,CRISIL,CRISIL.NS,CRISIL Limited,"906,913",0,0,193793
191,CUMMINSIND,CUMMINSIND.NS,Cummins India Limited,"905,612",0,0,486657
192,OIL,OIL.NS,Oil India Limited,"896,261",0,0,4464129
193,IDEA,IDEA.NS,Vodafone Idea Limited,"890,797",0,0,3677697
194,ISEC,ISEC.NS,ICICI Securities Limited,"890,560",0,0,637185
195,INDHOTEL,INDHOTEL.NS,The Indian Hotels Company Limited,"890,347",0,0,387073
196,TATAPOWER,TATAPOWER.NS,Tata Power Company Limited,"888,518",0,1,877057
197,IOB,IOB.NS,Indian Overseas Bank,"887,271",0,0,2393089
198,THERMAX,THERMAX.NS,Thermax Limited,"882,293",0,0,889601
199,IIFLWAM,IIFLWAM.NS,Iifl Wealth Management Limited,"874,811",0,0,3343617
200,PHOENIXLTD,PHOENIXLTD.NS,The Phoenix Mills Limited,"874,796",0,0,3725313
201,ENDURANCE,ENDURANCE.NS,Endurance Technologies Limited,"845,524",0,0,4818433
202,JINDALSTEL,JINDALSTEL.NS,Jindal Steel & Power Limited,"838,453",0,0,1723649
203,HATSUN,HATSUN.NS,Hatsun Agro Product Limited,"835,277",0,0,996353
204,SOLARINDS,SOLARINDS.NS,Solar Industries India Limited,"827,260",0,0,3412993
205,FEDERALBNK,FEDERALBNK.NS,The Federal Bank  Limited,"818,380",1,1,261889
206,AMARAJABAT,AMARAJABAT.NS,Amara Raja Batteries Limited,"816,569",1,1,25601
207,SJVN,SJVN.NS,SJVN Limited,"815,432",0,0,4834049
208,ESCORTS,ESCORTS.NS,Escorts Limited,"812,194",0,0,245249
209,MGL,MGL.NS,Mahanagar Gas Limited,"808,447",0,0,4488705
210,MANAPPURAM,MANAPPURAM.NS,Manappuram Finance Limited,"800,606",0,0,4879617
211,VINATIORGA,VINATIORGA.NS,Vinati Organics Limited,"796,098",0,0,4445185
212,UCOBANK,UCOBANK.NS,UCO Bank,"780,408",0,0,2873089
213,EMAMILTD,EMAMILTD.NS,Emami Limited,"771,463",0,0,3460353
214,ZYDUSWELL,ZYDUSWELL.NS,Zydus Wellness Limited,"749,259",0,0,4514561
215,MOTILALOFS,MOTILALOFS.NS,Motilal Oswal Financial Services Limited,"734,177",0,0,3826433
216,SKFINDIA,SKFINDIA.NS,SKF India Limited,"726,540",0,0,815617
217,BHEL,BHEL.NS,Bharat Heavy Electricals Limited,"724,269",0,0,112129
218,JKCEMENT,JKCEMENT.NS,JK Cement Limited,"722,883",0,0,3397121
220,GODREJAGRO,GODREJAGRO.NS,Godrej Agrovet Limited,"706,234",0,1,36865
221,JSWENERGY,JSWENERGY.NS,JSW Energy Limited,"701,288",0,0,4574465
222,CENTRALBK,CENTRALBK.NS,Central Bank of India,"699,446",0,0,3812865
223,RBLBANK,RBLBANK.NS,RBL Bank Limited,"688,970",1,1,4708097
225,TTKPRESTIG,TTKPRESTIG.NS,TTK Prestige Limited,"674,295",0,0,907777
226,PRESTIGE,PRESTIGE.NS,Prestige Estates Projects Limited,"674,249",0,0,5197313
227,TATACOMM,TATACOMM.NS,Tata Communications Limited,"664,478",0,0,952577
228,VGUARD,VGUARD.NS,V-Guard Industries Limited,"663,544",0,0,3932673
229,METROPOLIS,METROPOLIS.NS,Metropolis Healthcare Limited,"644,520",0,0,2452737
230,SIS,SIS.NS,Security and Intelligence Services (India) Limited,"631,198",0,0,5504257
231,MINDAIND,MINDAIND.NS,Minda Industries Limited,"630,370",0,0,3623425
232,SFL,SFL.NS,Sheela Foam Limited,"627,298",0,0,4911105
233,RITES,RITES.NS,RITES Limited,"615,250",0,0,962817
234,SUNDRMFAST,SUNDRMFAST.NS,Sundram Fasteners Limited,"614,625",0,0,856321
235,NLCINDIA,NLCINDIA.NS,NLC India Limited,"608,733",0,0,2197761
236,PVR,PVR.NS,PVR Limited,"607,672",1,1,3365633
237,NAVINFLUOR,NAVINFLUOR.NS,Navin Fluorine International Limited,"604,097",0,0,3756033
238,PGHL,PGHL.NS,Procter & Gamble Health Limited,"603,056",0,1,240641
