Sr. No.,Company,Symbol,Name,"Market Capitalisation 
(In lakhs)",Pink,Top,Instrument
936,ASHAPURMIN,ASHAPURMIN.NS,Ashapura Minechem Limited,"17,789",0,0,51969
937,ALLSEC,ALLSEC.NS,Allsec Technologies Limited,"17,600",0,0,3020289
938,V2RETAIL,V2RETAIL.NS,V2 Retail Limited,"17,565",0,0,3781121
939,ZENTEC,ZENTEC.NS,Zen Technologies Limited,"17,554",0,0,1922049
940,SUBEX,SUBEX.NS,Subex Limited,"17,422",0,0,247553
941,RSWM,RSWM.NS,RSWM Limited,"17,416",0,0,1866753
942,MANALIPETC,MANALIPETC.NS,Manali Petrochemicals Limited,"17,372",0,0,3531777
943,MENONBE,MENONBE.NS,Menon Bearings Limited,"17,316",0,0,1784577
944,JAYAGROGN,JAYAGROGN.NS,Jayant Agro Organics Limited,"17,295",0,0,1034497
945,LIBERTSHOE,LIBERTSHOE.NS,Liberty Shoes Limited,"17,287",0,0,510465
946,BUTTERFLY,BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited,"17,120",0,0,695297
947,PANAMAPET,PANAMAPET.NS,Panama Petrochem Limited,"17,089",0,0,6500353
949,RML,RML.NS,Rane (Madras) Limited,"17,050",0,0,3065601
950,RAMANEWS,RAMANEWS.NS,Shree Rama Newsprint Limited,"16,965",0,0,3472641
951,ZEEMEDIA,ZEEMEDIA.NS,Zee Media Corporation Limited,"16,948",0,0,3584769
952,ARSHIYA,ARSHIYA.NS,Arshiya Limited,"16,731",0,0,4562177
953,VSSL,VSSL.NS,Vardhman Special Steels Limited,"16,703",0,0,6929153
954,ORBTEXP,ORBTEXP.NS,Orbit Exports Limited,"16,676",0,0,8057601
955,RAJTV,RAJTV.NS,Raj Television Network Limited,"16,664",0,0,3687169
956,NDTV,NDTV.NS,New Delhi Television Limited,"16,408",0,0,2925313
957,JISLJALEQS,JISLJALEQS.NS,Jain Irrigation Systems Limited,"16,380",0,0,2661633
958,FCL,FCL.NS,Fineotex Chemical Limited,"16,361",0,0,1586689
959,HERCULES,HERCULES.NS,Hercules Hoists Limited,"16,320",0,0,3913729
960,DVL,DVL.NS,Dhunseri Ventures Limited,"16,234",0,0,3894785
961,HINDCOMPOS,HINDCOMPOS.NS,Hindustan Composites Limited,"16,216",0,0,351233
962,NIPPOBATRY,NIPPOBATRY.NS,Indo-National Limited,"16,183",0,0,1736193
963,UCALFUEL,UCALFUEL.NS,Ucal Fuel Systems Limited,"16,077",0,0,913921
964,DCW,DCW.NS,DCW Limited,"16,022",0,0,209153
965,GAYAPROJ,GAYAPROJ.NS,Gayatri Projects Limited,"16,005",0,0,6405889
966,OSIAHYPER,OSIAHYPER.NS,Osia Hyper Retail Limited,"15,955",0,0,2438145
967,INFOBEAN,INFOBEAN.NS,InfoBeans Technologies Limited,"15,922",0,0,2822913
968,KARDA,KARDA.NS,Karda Constructions Limited,"15,898",0,0,602625
969,GALLANTT,GALLANTT.NS,Gallantt Metal Limited,"15,858",0,0,3414273
970,PRECWIRE,PRECWIRE.NS,Precision Wires India Limited,"15,796",0,0,695553
971,NITINSPIN,NITINSPIN.NS,Nitin Spinners Limited,"15,770",0,0,3373569
972,THEJO,THEJO.NS,Thejo Engineering Limited,"15,557",0,0,7383553
973,GULFPETRO,GULFPETRO.NS,GP Petroleums Limited,"15,550",0,0,2964737
974,JETAIRWAYS,JETAIRWAYS.NS,Jet Airways (India) Limited,"15,506",0,0,3435521
975,POKARNA,POKARNA.NS,Pokarna Limited,"15,502",0,0,4518657
976,SPAL,SPAL.NS,S. P. Apparels Limited,"15,480",0,0,4672513
977,MSPL,MSPL.NS,MSP Steel & Power Limited,"15,417",0,0,3051265
978,AKASH,AKASH.NS,Akash Infra-Projects Limited,"15,336",0,0,3458561
979,3RDROCK,3RDROCK.NS,3rd Rock Multimedia Limited,"15,316",0,0,1438977
980,ALANKIT,ALANKIT.NS,Alankit Limited,"15,297",0,0,2539777
981,KAYA,KAYA.NS,Kaya Limited,"15,233",0,0,2630657
982,GUJAPOLLO,GUJAPOLLO.NS,Gujarat Apollo Industries Limited,"15,194",0,0,3757313
983,VIPULLTD,VIPULLTD.NS,Vipul Limited,"15,118",0,0,2156545
984,BGRENERGY,BGRENERGY.NS,BGR Energy Systems Limited,"15,118",0,0,3889409
985,ORICONENT,ORICONENT.NS,Oricon Enterprises Limited,"14,998",0,0,2600705
986,CREST,CREST.NS,Crest Ventures Limited,"14,908",0,0,3558401
987,ONMOBILE,ONMOBILE.NS,OnMobile Global Limited,"14,903",0,0,3911169
988,MMP,MMP.NS,MMP Industries Limited,"14,873",0,0,4197121
989,AHLEAST,AHLEAST.NS,Asian Hotels (East) Limited,"14,871",0,0,4976129
990,KCPSUGIND,KCPSUGIND.NS,KCP Sugar and Industries Corporation Limited,"14,853",0,0,1231105
991,HITECHGEAR,HITECHGEAR.NS,The Hi-Tech Gears Limited,"14,789",0,0,2193409
992,BCG,BCG.NS,Brightcom Group Limited,"14,764",0,0,2261249
993,EXPLEOSOL,EXPLEOSOL.NS,Expleo Solutions Limited,"14,717",0,0,4476417
994,RAMKY,RAMKY.NS,Ramky Infrastructure Limited,"14,670",0,0,5154305
995,TCPLPACK,TCPLPACK.NS,TCPL Packaging Limited,"14,460",0,0,47105
996,MBAPL,MBAPL.NS,Madhya Bharat Agro Products Limited,"14,404",0,0,3252481
997,SANGAMIND,SANGAMIND.NS,Sangam (India) Limited,"14,389",0,0,1071105
998,CHEMFAB,CHEMFAB.NS,Chemfab Alkalis Limited,"14,057",0,0,716545
999,GOKEX,GOKEX.NS,Gokaldas Exports Limited,"13,938",0,0,3015169
1000,ADVANIHOTR,ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited,"13,912",0,0,3775745
